Description,GeneID_File1,GeneID_File2
23 kda integral membrane protein-like,LOC126271434,LOC126274788
facilitated trehalose transporter tret1-2 homolog,LOC126272587,LOC126278499
cytochrome p450 6k1-like,LOC126335044,LOC126272144
cytochrome p450 6k1-like,LOC126335044,LOC126273058
cytochrome p450 6k1-like,LOC126335044,LOC126272683
luciferin sulfotransferase-like,LOC126356147,LOC126272807
luciferin sulfotransferase-like,LOC126356147,LOC126291583
luciferin sulfotransferase-like,LOC126356147,LOC126291795
allantoicase-like,LOC126356047,LOC126356047
vesicular glutamate transporter 1-like,LOC126272465,LOC126272465
phosphoenolpyruvate carboxykinase [gtp]-like,LOC126278052,LOC126278052
s-adenosylmethionine decarboxylase proenzyme-like,LOC126304687,LOC126304687
protein aubergine-like,LOC126304746,LOC126304746
uncharacterized loc126304743,LOC126304743,LOC126304743
lim domain-containing protein b-like,LOC126304754,LOC126304754
branchpoint-bridging protein-like,LOC126304762,LOC126304762
actin-related protein 2/3 complex subunit 5-like,LOC126304766,LOC126304766
protein phosphatase 2a scaffold subunit-like,LOC126304718,LOC126304718
cysteinylglycine-s-conjugate dipeptidase-like,LOC126304696,LOC126304696
phosphatidate phosphatase lpin3-like,LOC126304732,LOC126304732
tetratricopeptide repeat protein 1-like,LOC126304660,LOC126304660
cyclic gmp-binding protein c-like,LOC126304653,LOC126304653
phosphatidylinositol-glycan biosynthesis class w protein-like,LOC126304709,LOC126304709
bcas3 microtubule associated cell migration factor-like,LOC126304714,LOC126304714
nuclear pore complex protein nup205-like,LOC126304737,LOC126304737
uncharacterized loc126304666,LOC126304666,LOC126304666
chromodomain-helicase-dna-binding protein 8-like,LOC126304715,LOC126304715
rho-related protein racb-like,LOC126304652,LOC126304652
60s ribosomal protein l34-like,LOC126304702,LOC126304702
uncharacterized loc126304739,LOC126304739,LOC126304739
snw domain-containing protein 1-like,LOC126305013,LOC126305013
rna-binding protein 5-like,LOC126305010,LOC126305010
ras gtpase-activating-like protein rgaa,LOC126305012,LOC126305012
ras gtpase-activating-like protein rgaa,LOC126305012,LOC126322531
uncharacterized loc126305017,LOC126305017,LOC126305017
uncharacterized loc126304973,LOC126304973,LOC126304973
rasgap-activating-like protein 1,LOC126304974,LOC126304974
probable serine/threonine-protein kinase kinx,LOC126304982,LOC126304982
receptor of activated protein c kinase 1-like,LOC126304984,LOC126304984
uncharacterized loc126304989,LOC126304989,LOC126304989
hapless 2-like,LOC126304985,LOC126304985
probable mitochondrial 2-oxodicarboxylate carrier,LOC126305008,LOC126305008
uncharacterized loc126311252,LOC126311252,LOC126311252
2-hydroxyacid dehydrogenase homolog,LOC126311192,LOC126311192
uncharacterized loc126311208,LOC126311208,LOC126311208
uncharacterized loc126311194,LOC126311194,LOC126311194
uncharacterized loc126311211,LOC126311211,LOC126311211
ubiquitin-like modifier-activating enzyme 1,LOC126311180,LOC126311180
probable splicing factor%2c arginine/serine-rich 3,LOC126311225,LOC126311225
riboflavin biosynthesis protein ribba-like,LOC126311219,LOC126311219
uncharacterized loc126311216,LOC126311216,LOC126311216
kinase and exchange factor for rac b-like,LOC126311234,LOC126311234
kinase and exchange factor for rac b-like,LOC126311234,LOC126320590
uncharacterized loc126311232,LOC126311232,LOC126311232
asparagine--trna ligase-like,LOC126311236,LOC126311236
vacuolar proton translocating atpase 100 kda subunit-like,LOC126311237,LOC126311237
uncharacterized loc126311239,LOC126311239,LOC126311239
uncharacterized loc126313301,LOC126313301,LOC126313301
26s proteasome regulatory subunit 10b-like,LOC126313340,LOC126313340
villin-1-like,LOC126313401,LOC126313401
uncharacterized loc126313403,LOC126313403,LOC126313403
probable atp-dependent rna helicase kurz,LOC126313368,LOC126313368
rapa guanosine triphosphatase-activating protein 1-like,LOC126313375,LOC126313375
uncharacterized loc126313406,LOC126313406,LOC126313406
uncharacterized loc126313326,LOC126313326,LOC126313326
uncharacterized loc126314458,LOC126314458,LOC126314458
